a,b,theta,R3,R4,A1,A2,E,E_p,E_t1,E_t2,machine_type,status,file_name
7.4,6.0,25.5,2.1,1.9,0,-1.5,-54.68626030522864,-7.128522385028191,-9.790658259007614,-10.423949508578517,1,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-1.5_a=7.4_b=6.0_cx=0_cy=0_cz=0.log
7.5,5.8,25.5,2.1,1.9,0,-1.0,-55.70805366325658,-7.782480676542036,-9.701928344962653,-10.3696178101236,2,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-1.0_a=7.5_b=5.8_cx=0_cy=0_cz=0.log
7.4,5.8,25.5,2.1,1.9,0,-0.5,-55.97693416848779,-7.74807179311756,-9.76457831589505,-10.475816975231282,2,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-0.5_a=7.4_b=5.8_cx=0_cy=0_cz=0.log
7.4,5.8,25.5,2.1,1.9,0,0.0,-55.82430616626516,-7.701110199908726,-9.727927339205053,-10.4831155440188,2,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=0.0_a=7.4_b=5.8_cx=0_cy=0_cz=0.log
7.4,6.0,25.5,2.1,1.9,0,-2.0,-54.38529646908864,-7.094754816964269,-9.765809490461834,-10.33208392711822,1,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2.0_a=7.4_b=6.0_cx=0_cy=0_cz=0.log
7.4,6.0,25.5,2.1,1.9,0,-2.5,-53.99637204618193,-7.059019377455115,-9.725796315353364,-10.213370330282489,1,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2.5_a=7.4_b=6.0_cx=0_cy=0_cz=0.log
7.5,5.9,25.5,2.1,1.9,0,-1.0,-55.189441749244,-7.524377028574236,-9.693960222939497,-10.376383623108268,2,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-1.0_a=7.5_b=5.9_cx=0_cy=0_cz=0.log
7.4,5.9,25.5,2.1,1.9,0,-0.5,-55.68048087437637,-7.528822309337556,-9.79277987027308,-10.51863825757755,2,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-0.5_a=7.4_b=5.9_cx=0_cy=0_cz=0.log
7.4,5.9,25.5,2.1,1.9,0,0.0,-55.62453082727734,-7.52565087378025,-9.760762427467853,-10.525852112390568,2,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=0.0_a=7.4_b=5.9_cx=0_cy=0_cz=0.log
7.5,5.8,25.5,2.1,1.9,0,-1.5,-55.60058881074656,-7.805421187193133,-9.692145463952327,-10.302727754227815,1,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-1.5_a=7.5_b=5.8_cx=0_cy=0_cz=0.log
7.5,5.8,25.5,2.1,1.9,0,-2.0,-55.380251224618405,-7.818030373076908,-9.665177594288252,-10.206917644944042,1,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2.0_a=7.5_b=5.8_cx=0_cy=0_cz=0.log
7.5,5.8,25.5,2.1,1.9,0,-2.5,-55.05424973985646,-7.8215130537282676,-9.622197551943827,-10.083414264256136,1,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2.5_a=7.5_b=5.8_cx=0_cy=0_cz=0.log
7.5,6.0,25.5,2.1,1.9,0,-1.0,-54.3440238814801,-7.159743517753668,-9.66031815687893,-10.351950266107451,2,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-1.0_a=7.5_b=6.0_cx=0_cy=0_cz=0.log
7.4,6.0,25.5,2.1,1.9,0,-0.5,-55.004016309278086,-7.187750544049777,-9.790205824247096,-10.52405178634217,2,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-0.5_a=7.4_b=6.0_cx=0_cy=0_cz=0.log
7.4,6.0,25.5,2.1,1.9,0,0.0,-55.01058382843621,-7.211815552436747,-9.76256400870625,-10.53091235307511,2,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=0.0_a=7.4_b=6.0_cx=0_cy=0_cz=0.log
